hero_kr,epithet_kr,faction,attr,key,skill_kr,tooltip_kr,mana,cooldown,learn_level,origin,namu_title
메두사,나가왕국 여왕,스콜지,지능,B,파멸의 시선,파멸의 시선을 날려 100 / 200 / 300의 피해를 입히고 1 / 1.75 / 2.5초간 기절시킵니다. 사정거리 650 / 700 / 750,75 / 100 / 120,9,1 / 3 / 5,,메두사/카오스(워크래프트 3/유즈맵)
메두사,나가왕국 여왕,스콜지,지능,D,바다뱀 소환,"바다뱀 2기를 소환합니다. 바다뱀 스펙은 아래 참조 바다뱀 체력 365 / 465 / 565, 체력 회복 속도 0.5, 공격력 20 - 22 / 24 - 26 / 28 - 30(영웅), 사정거리 근접, 방어력 2 / 4 / 6(비무장), 공격 속도 0.9, 이동 속도 350, 마법 피해 15% 감소, 지속 시간 35초 지상만 공격 가능 패시브 - 뱀독 매 공격마다 50% 확률로 적 유닛에게 자신의 지능 X 0.2 / 0.3 / 0.4만큼의 마법 피해를 입힙니다. 메두사 주변 800 범위내에 있을 경우에만 적용 I - 하이드 자동 공격을 중지하고 몸을 숨겨 은신 상태가 됩니다. 밤에만 사용 가능",60 / 70 / 80,10 / 6.5 / 3,1 / 4 / 7,,메두사/카오스(워크래프트 3/유즈맵)
메두사,나가왕국 여왕,스콜지,지능,F,갈라진 번개,대상과 근처 유닛에게 갈라진 번개를 내보내 120 / 240 / 360의 피해를 입힙니다.,90 / 110 / 130,10,1 / 3 / 5,,메두사/카오스(워크래프트 3/유즈맵)
메두사,나가왕국 여왕,스콜지,지능,W,폭염,10 / 12초간 600 범위내 모든 적 유닛과 건물에 60 / 90의 피해를 입히는 불비를 40회 떨어뜨립니다. 불비를 맞은 유닛은 15초간 초당 20 / 40의 피해를 입습니다. 채널링 기술 건물에는 60%의 피해를 입힘,200 / 250,165,6 / 12,,메두사/카오스(워크래프트 3/유즈맵)
멜쉬드,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,E,물 안개,"6초간 자신의 주변 500 범위내 적의 이동 속도를 15% / 20% / 25% 감소시키고, 자신의 공격 속도를 10% / 20% / 30% 증가시키며, 냉기 타격의 확률을 7% 증가시키는 물 안개를 생성합니다.",75 / 100 / 125,20,1 / 5 / 9,,멜쉬드
멜쉬드,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,F,물의 장막,"물의 장막을 활성화합니다. 초당 8 / 14 / 20의 마력을 소모해 방어력이 1 / 2 / 3 증가하고, 모든 피해가 4% / 6% / 8% 감소하며, 주변 적 유닛에게 0.5초마다 25 / 40 / 55의 피해를 입힙니다.",10 / 16 / 22,-,1 / 5 / 9,,멜쉬드
멜쉬드,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,패시브,냉기 타격,"매 공격마다 적 유닛과 건물을 1 / 2 / 3초간 얼리며 2배의 피해를 입힙니다. 영웅은 4% / 6% / 8% 확률로 0.8초간 얼립니다. 지옥의 악령, 죽음의 수호신, 저주의 탑에게는 효과 없음",-,1 / 3 / 5,,,멜쉬드
멜쉬드,캐릭터 모델 첨부 부탁드립니다.,센티널,지능,W,정화의 눈,"15초간 탐지 능력을 가진 정화의 눈을 소환해 범위내 모든 아군의 방어력을 5 증가시키고, 적 생명체에게 초당 120 / (120 + 최대 체력의 1.5%)의 피해를 입힙니다. 투사체가 발사된 이후에는 마법 면역이 되어도 피해가 적용됨 최대 체력의 1.5% 피해는 마법 면역 무시",200 / 250,150,6 / 12,,멜쉬드
멤피스,캐릭터 모델 첨부 부탁드립니다.,스콜지,히든,,냉기 뿜기,"브레스 오브 파이어 기반. 냉기를 뿜어 전방에 적들과 건물에 피해를 준다. 사정거리 700(800). 효과범위 300. 재사용 대기시간 8초. 1레벨 - 냉기를 뿜어 전방의 적들에게 150의 피해를 준다. 마력소모 75. 2레벨 - 냉기를 뿜어 전방의 적들에게 250의 피해를 준다. 마력소모 100. 3레벨 - 냉기를 뿜어 전방의 적들에게 350의 피해를 준다. 마력소모 125. 아키로의 스킬과 비교하면 그다지 별 좋지 않은 스킬. 그래도 사정거리도 꽤 길고, 건물에게도 피해를 줄 수 있는 것도 나름 장점. 한타에도 도움이 된다.",,,,,멤피스/카오스(워크래프트 3/유즈맵)
멤피스,캐릭터 모델 첨부 부탁드립니다.,스콜지,히든,,가시 지뢰,"퀼비스트 소환 기반. 적 영웅에게만 반응하는 지뢰를 매설한다. 소환된 지뢰는 고블린 지뢰 능력을 가지며 폭발시 카붐! 기반[1]의 피해를 준다. 지뢰를 소환하지만 시야는 가지지 않는다. 마법 면역을 무시한다. 1레벨 - 폭발 시 효과범위 200에 450, 효과범위 400에 300에 피해를 주는 가시 지뢰를 소환한다. 재사용 대기시간 12초. 마력소모 50. 2레벨 - 폭발 시 효과범위 200에 450, 효과범위 400에 300에 피해를 주는 가시 지뢰를 소환한다. 재사용 대기시간 9초. 마력소모 70. 3레벨 - 폭발 시 효과범위 200에 450, 효과범위 400에 300에 피해를 주는 가시 지뢰를 소환한다. 재사용 대기시간 6초. 마력소모 90. 스컬지에는 행운, 센티널에는 지옥. 영웅 한정으로 발동되어서 크립 나오는 곳마다 몇 개씩 심어두면 도망가다가 그대로 사망한다. 특히 웨이게이트 나오는 곳에 중복하여 심어두면 이동하는 순간 몇천의 대미지를 고스란히 받는다. 드러커 형제의 지뢰와는 다르게 대영웅 특화 지뢰.",,,,,멤피스/카오스(워크래프트 3/유즈맵)
멤피스,캐릭터 모델 첨부 부탁드립니다.,스콜지,히든,,가시 껍질,"패시브 기술. 멤피스의 방어력이 상승하며, 근접 공격으로 입은 피해의 일부를 되돌려준다. 반사시키는 피해는 멤피스가 입은 피해에 비례하며, 마법 피해로 반사시키기 때문에 마법 면역에는 피해를 주지 못한다. 대천사의 축복 및 가시방패의 쏜즈오라, 어둠의 제왕의 쏜즈오라, 엘룬의 가호의 쏜즈 능력과 중복된다. 1레벨 - 방어력 +3. 근접 공격한 적의 매 공격 시 공격력의 15%를 반사시켜 피해를 준다. 2레벨 - 방어력 +6. 근접 공격한 적의 매 공격 시 공격력의 20%를 반사시켜 피해를 준다. 3레벨 - 방어력 +9. 근접 공격한 적의 매 공격 시 공격력의 25%를 반사시켜 피해를 준다. 그리메와는 다르게 반사피해가 5%차이가 나지만, 방어력이 올라간다. 역시 다른 쏜즈 오라 계열 오라와 중복된다.",,,,,멤피스/카오스(워크래프트 3/유즈맵)
멤피스,캐릭터 모델 첨부 부탁드립니다.,스콜지,히든,,멤피스 룬,"로커스트 스웜 + 힐링워드 기반. 멤피스와 효과범위 내 아군의 체력을 회복시키는 룬을 소환한다. 룬은 지속시간 동안 멤피스 주위를 맴돈다. 효과범위 1000. 지속시간 30초. 1레벨 - 효과범위 내 아군의 체력을 초당 4% 회복시키는 룬을 소환한다. 재사용 대기시간 180초. 마력소모 150. 거의 모든 영웅에게 도움이 될 수 있는 스킬. 특히 이 스킬이 구르르와 리키안에게 매우 효율적이다. 야생 본능과 야수의 생명력까지 더해서 구르르는 좀비가 될 수 있고, 리키안의 오라로 인한 모든 캐릭터가 체력이 끔찍하게 차는 경우도 볼 수 있다. 로칸의 로칸워드와 비교하면 3레벨에 체력 초당 3% 회복에 지속시간 40초지만 건물유닛이라는 걸 고려해보면 정말 좋은 스킬.",,,,,멤피스/카오스(워크래프트 3/유즈맵)
무라딘,마운틴 킹,센티널,힘,C,라이징 썬더 클랩,"땅을 내려쳐 550 범위내 적에게 100 / 200 / 300의 피해를 입히고, 1 / 1.25 / 1.5초간 기절시킵니다.",70 / 85 / 100,9,1 / 3 / 5,,무라딘/카오스(워크래프트 3/유즈맵)
무라딘,마운틴 킹,센티널,힘,V,자이언트 그로스,"18초간 체력이 100 / 200 / 300 증가하고, 방어력이 4 감소하며, 마법에 면역이 됩니다.",80 / 90 / 100,65,1 / 4 / 7,,무라딘/카오스(워크래프트 3/유즈맵)
무라딘,마운틴 킹,센티널,힘,패시브,마르티산의 도끼,"마법 면역이 아닌 적을 공격시 50 / 100 / 150의 추가 피해를 입히고, 0.5초간 기절시킵니다. 마법 면역인 적을 공격시 재사용 대기시간이 돌아가지 않음",-,7 / 6 / 5,1 / 3 / 5,,무라딘/카오스(워크래프트 3/유즈맵)
무라딘,마운틴 킹,센티널,힘,T,토르의 심판,"600 범위 내 적들에게 550 / 800의 피해를 입히고, 4초간 이동 속도를 30% / 50%만큼 감소시킵니다. 또한 시전 1.5초후 범위내 적을 2초간 기절시킵니다. 피해와 이동 속도 감소는 마법 면역 무시 마법 면역 시 기절은 적용되지 않음",150 / 200,165,6 / 12,,무라딘/카오스(워크래프트 3/유즈맵)
뮤턴트,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,F,살점 뜯기,자신 주위 380 범위내 적 유닛에게 0.3초마다 15 / 20 / 25 / 30의 피해를 입힙니다.,-,1 / 4 / 7 / 10,,,뮤턴트/카오스(워크래프트 3/유즈맵)
뮤턴트,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,R,죽음의 공포,400 범위내 적 유닛을 1 / 1.5 / 2초간 공포 상태로 만듭니다.,60 / 70 / 80,15,1 / 3 / 5,,뮤턴트/카오스(워크래프트 3/유즈맵)
뮤턴트,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,D,땅파기,"습득시 영구적으로 방어력이 1 / 3 / 5 증가합니다. 사용시 땅을 파고 숨어 은신 상태가 되고, 초당 최대 체력의 1%만큼의 체력을 회복합니다. 땅에 숨을 경우 기본 이동 속도가 200 / 250 / 300으로 변경되고, 최대 이동 속도가 320 / 350 / 380으로 변경됨",10 / 15 / 20,4,1 / 3 / 5,,뮤턴트/카오스(워크래프트 3/유즈맵)
뮤턴트,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,W,망자의 절규,"700 범위내 적 유닛에게 초당 적의 최대 체력의 7% / 10%의 피해를 입히는 망자의 무덤을 소환합니다. 나무 파괴 가능 마법 면역 무시 망자의 무덤 스펙은 아래 참조 망자의 무덤 체력 2800, 방어 0(대형), 공중 및 기계 타입, 지속시간 13초",150 / 200,150,6 / 12,,뮤턴트/카오스(워크래프트 3/유즈맵)
바이퍼,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,R,약화,"35초간 마법의 기둥을 소환해 근처 적 유닛에게 자동으로 약화를 시전합니다. 약화에 걸린 대상은 20초간 방어력이 4 / 7 / 10 감소하며, 시야가 공유됩니다. 디스펠로 해제 가능",70 / 80 / 90,12,1 / 4 / 7,,바이퍼/카오스(워크래프트 3/유즈맵)
바이퍼,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,E,촉진,습득시 영구적으로 공격 속도가 20% / 40% / 60% 증가합니다. 자신이나 아군에게 사용시 50초간 공격 속도를 40% / 50% / 60% 증가시킵니다. 아군 영웅에게 사용시 공격 속도 증가량 55% / 80% / 105%,40 / 50 / 60,4,1 / 3 / 5,,바이퍼/카오스(워크래프트 3/유즈맵)
바이퍼,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,D,독침,"매 공격마다 추가로 10 / 20 / 30 / 40의 피해를 입히고, 6초간 초당 7 / 14 / 21 / (21 + 현재 체력의 3%)의 독 피해를 입히며, 이동 속도를 5% / 10% / 15% / 20% 감소시킵니다. 4레벨에는 마법 면역 무시 오브 기반",-,1 / 4 / 7 / 10,,,바이퍼/카오스(워크래프트 3/유즈맵)
바이퍼,캐릭터 모델 첨부 부탁드립니다.,스콜지,민첩,W,맹독,대상에게 즉시 500 / 900의 피해를 입히고 1.5 / 2초간 기절시킵니다. 또한 1초간 0.5초마다 30 / 50의 독 피해를 입힙니다. 건물 및 기계에 사용 가능 마법 면역 무시,150 / 200,135 / 120,6 / 11,,바이퍼/카오스(워크래프트 3/유즈맵)
버서커,"힘영웅으로 사정거리는 125이고 기본 공격속도는 1.5, 기본 이동속도는 330이다.",,중립 ,,화풍신공,"발동 시 공격력과 방어력이 상승하며 공격 시 마법 데미지의 추가 피해를 준다. 공방 버프와 추가 피해 효과는 디스펠 당하지 않는다. 지속시간 30초. 재사용 대기시간 30초. 1레벨 - 공격력 +10, 방어력 +3. 매 공격 시 10의 추가 피해를 준다. 마력소모 50. 2레벨 - 공격력 +20, 방어력 +6. 매 공격 시 20의 추가 피해를 준다. 마력소모 70. 3레벨 - 공격력 +30, 방어력 +9. 매 공격 시 30의 추가 피해를 준다. 마력소모 90. 한때는 로어 기반이라 디스펠과 본인의 안티에 효과가 싸그리 사라지는 애매한 스킬이었다(...). 여러 차례 패치를 거쳐 디스펠이 되지 않는 지금의 형태가 되었다. 추가데미지는 마법대미지이기 때문에 적과의 교전이나 테러 양면으로 유용하다. 2스킬 버서커와 함께 쓰면 순식간에 푹푹 깎여나가는 적의 체력을 볼 수 있다.",,,,,버서커/카오스(워크래프트 3/유즈맵)
버서커,"힘영웅으로 사정거리는 125이고 기본 공격속도는 1.5, 기본 이동속도는 330이다.",,중립 ,,버서커,"버서크 기반. 발동 시 공격속도와 이동속도가 상승하나 적의 공격에 추가 피해를 입는다. 지속시간 20초. 재사용 대기시간 20초. 1레벨 - 공격속도 +50%, 이동속도 +30%. 추가피해 20%. 마력소모 50. 2레벨 - 공격속도 +100%, 이동속도 +40%. 추가피해 15%. 마력소모 70. 3레벨 - 공격속도 +150%, 이동속도 +50%. 추가피해 10%. 마력소모 90. 한때는 받는 추가피해량이 무지막지했으나 패치로 추가피해량이 점점 줄어들어 지금에 이르렀다. 현재는 화풍신공과 엄청난 공속 증가로 한타시 딜링과 테러를 모두 할 수 있게 만드는 스킬. 단, 줄어들었다고는 해도 추가피해는 여전히 아프다.",,,,,버서커/카오스(워크래프트 3/유즈맵)
버서커,"힘영웅으로 사정거리는 125이고 기본 공격속도는 1.5, 기본 이동속도는 330이다.",,중립 ,,철갑,기본 공격 피해를 줄여 받는 패시브 기술. 하드스킨 기반이므로 방어력이 적용되기 전의 피해를 먼저 줄이고 이후에 방어력이 적용된다. 하드스킨 기반이 아닌 최종뎀을 줄여주는 엘룬의 가호/방호 시리즈와 정상적으로 중첩된다. 1레벨 - 물리 공격 피해 20 감소. 2레벨 - 물리 공격 피해 35 감소. 3레벨 - 물리 공격 피해 50 감소. 히든이지만 어째 스톤콜드와 비교해서 별로 나을 게 없었다가[1] 엉뚱하게 스톤콜드의 너프(...)로 그나마 히든값을 하게 된 스킬. 하지만 스톤콜드 2스킬에 사용 효과가 생기며 다시 하위호환 신세가 되었다. 스톤콜드와 마찬가지로 초반 크리핑에 유용하며 버서커로 인한 추가데미지를 약간이나마 상쇄시켜 주기도 한다.,,,,,버서커/카오스(워크래프트 3/유즈맵)
버서커,"힘영웅으로 사정거리는 125이고 기본 공격속도는 1.5, 기본 이동속도는 330이다.",,중립 ,,질풍 유혈난무,"발동 시 버서커는 사라지고 클릭할 수 없는 공격력 1, 공격속도 0.1의 버서커가 나타나 적을 잡아둔 상태에서 피해를 준다. 90% 확률로 2초간 기절시키며, 15%의 확률의 퍼지능력을 가지고 있다. 대상은 클릭할 수 없는 버서커가 사라진 후에 피해를 입는다. 지속시간 5초. 1레벨 - 사용 후 10초 이내 적 영웅을 공격 시 발동하여 900의 피해를 준다. 재사용 대기시간 170초. 마력소모 150. 2레벨 - 사용 후 15초 이내 적 영웅을 공격 시 발동하여 1200의 피해를 준다. 재사용 대기시간 140초. 마력소모 200. 사실상 약 7초 가까운 시간 동안 스턴시키는 기술. 마법면역을 무시하고 들어가는 핵류 스킬이다. 그러나 악동, 세티어, 바이퍼나 레이나와는 달리 스킬을 발동한 후 적을 한 차례 타격해야 발동한다. 적을 때리지도 못하고 지속시간이 들어가면 그대로 궁극을 날리는 셈. 사용하면 버서커가 사라지므로 참새의 족쇄와는 달리 버서커가 공격당해 풀릴 일도 없다. 궁극이 없는 척하고 적과 싸우다가 기습적으로 발동하는 식의 사용법이 쓸 만하다. 문제는 발동할 때 약 1초간 멍때린다는 것. 이펙트가 적에게도 보이니 보면 바로 도망친다(...). 참고로 버서커는 소형이다. 즉, 나뭇길 활용이 자유롭다는 것. 즉, 나무 뒤에서 궁극 미리 쓰고 나뭇길로 덮치면 생각보다 성공률이 높다. 특히 초반에는 버서크 스킬로 인해 버서커의 이속이 월등히 빠를 때인 데다 질풍 유혈난무의 대미지는 1레벨부터 무식하게 높다. 이걸 모르는 플레이어들이 상당히 많아서 인식이 상당히 안 좋은 궁극기이다.",,,,,버서커/카오스(워크래프트 3/유즈맵)
버서커,"힘영웅으로 사정거리는 125이고 기본 공격속도는 1.5, 기본 이동속도는 330이다.",,중립 ,,질풍 사후난무,"패시브 기술. 로커스트 기반. 버서커가 사망 시 공격력 1(카오스)+35(마법), 공격속도 0.1, 이동속도 450의 버서커의 원혼이 소환되어 주변의 적을 공격한다. 지속시간 11초. 스킬창에 표시되지 않는 스킬로 버서커 사망 시 자동으로 발동되는 기술이다. 버서커가 사망한 자리 주변에 있는 적을 공격하며 일정 거리 이상 떨어질 경우 원래 자리로 복귀한다.",,,,,버서커/카오스(워크래프트 3/유즈맵)
베나자르,체력,스콜지,히든,,데스 코일,"어둠의 기운을 날려 아군의 체력은 회복시키고, 적에게는 피해를 준다. 자신에게 사용할 수 있다. 기계와 건물에는 사용할 수 없다. 미사일속도 1100. 사정거리 800. 재사용 대기시간 9초. 1레벨 - 어둠의 기운을 날려 아군의 체력을 300 회복시키거나, 적에게 150의 피해를 준다. 마력소모 75. 2레벨 - 어둠의 기운을 날려 아군의 체력을 500 회복시키거나, 적에게 250의 피해를 준다. 마력소모 100. 3레벨 - 어둠의 기운을 날려 아군의 체력을 700 회복시키거나, 적에게 350의 피해를 준다. 마력소모 125. 존재 자체로 자기 자신의 생존과 팀 플레이에 큰 도움이 되는 기술. 브로켄 백작과 같은 긴 사정거리나 반사 체력 회복 같은 부가 기능은 없다. 하지만 자신의 체력을 회복할 수 있고 날아가는 속도가 빠르며 어둠의 제왕을 치유할 수 있기 때문에 브로켄의 퓨어 이블보다 더 좋다고 할 수 있다. 엘딘이나 브로켄 백작처럼 상대는 기회만 된다면 무조건 달려들어 베나자르를 무력화 시킬게 뻔하기 때문에 이 스킬을 믿고 탱커같이 플레이하는 건 절대로 금물이다.",,,,,베나자르
베나자르,체력,스콜지,히든,,슬립,"대상 적을 잠재운다. 잠들고 최초 3초는 무적 상태가 되며, 그 이후로 공격당하면 잠에서 깨어난다. 마법면역에는 사용할 수 없다. 사정거리 800, 재사용 대기시간 10초. 1레벨 - 대상 적을 5초간 잠재운다. 마력소모 50. 2레벨 - 대상 적을 10초간 잠재운다. 마력소모 50. 3레벨 - 대상 적을 15초간 잠재운다. 마력소모 50. 베나자르가 사기인 이유 1. 지속 시간이 재사용 대기시간보다 길기 때문에 무한 슬립도 가능한 황당한 기술이다. 한타 때엔 영웅 하나를 재워서 흐름을 뺏는 것이 기본 활용이다. 히든다운 면모가 드러나는 때는 나엘영웅 혼자 돌아다니다가 베나자르 시야에 들어왔을 때 이다. 걸리면 대뜸 자기 시작하고 그렇게 계속 자다가 맵 정 반대쪽에 있던 악동, 래퍼드가 뛰어 올 때까지 계속 자고 있어야 하는 게 베나자르와 조우하는 센티널 영웅으로선 가장 당하고 싶지 않을 일이다. 기술을 당한 나엘 영웅은 처음 3초간 무적이 된다. 그래서 나엘은 어떤 수로도 슬립을 해제할 수가 없어 3초 동안 한 명 모자란 상태로 전투를 하게 되는 것이 슬립의 존재 의의지만, 언데 입장에서도 재운 상대를 어찌할 수가 없기 때문에 호흡이 안맞거나 베나를 모르는 사람이 같은 팀이라면 스킬점사가 꼬여서 죽을 나엘을 살려주게 되는 참사[1]가 일어나기도 한다[2]. 게다가 그 3초가 지나면 평타 한 대 툭 치는 것으로 신속하게 해제가 되기 때문에 베나자르는 슬립의 쿨타임 2초 동안 한타에 아무런 영향을 끼칠 수가 없어진다. 그래서 팀에 나엘 영웅을 죽일 화력이 모자라면 베나자르는 제왕이라는 이름이 무색하게 게임을 이끌 힘이 무척 떨어지게 된다. 한타에서의 슬립은 절대로 누군가를 죽이기 위해 쓰는 기술이 아님을 명심하자.",,,,,베나자르
베나자르,체력,스콜지,히든,,뱀파이어릭 오라,"패시브 기술. 주변의 근접 공격을 하는 아군들이 적을 공격할 때 준 피해의 일부만큼 체력을 회복한다. 효과범위 400. 1레벨 - 효과범위 내 근접 공격을 하는 아군이 적을 공격할 때 준 피해의 15%만큼 체력을 회복한다. 2레벨 - 효과범위 내 근접 공격을 하는 아군이 적을 공격할 때 준 피해의 25%만큼 체력을 회복한다. 3레벨 - 효과범위 내 근접 공격을 하는 아군이 적을 공격할 때 준 피해의 35%만큼 체력을 회복한다. 자기 자신에게만 적용되는 레오닉의 피의 기운과는 다르게, 효과범위 내 아군 전체에게 적용되는 오라이다. 체력 흡수 수치도 높으며, 어둠의 제왕도 체력 흡수를 한다는 점 때문에 좋...은 기술이 아니다. 한타, 특히 궁극기와 마댐 스킬이 전체 딜량의 90퍼센트 이상을 차지하는 초중반에서는 상대가 트롤링을 목적으로 일부러 대주는 게 아닌 이상 전혀 도움이 되지 않으며, 베나자르는 다른 영웅들 보다 평타 대미지가 30정도 높은 거 외엔 평타를 강화하는 기술이 아예 없기 때문에 사실상 잉여 기술이다. 최대한 빨리 6레벨을 찍고 라인을 밀어버리는 게 훨씬 팀에 도움이 되는 관계로 크리핑에 쓸 일도 거의 없다.",,,,,베나자르
베나자르,체력,스콜지,히든,,어둠의 제왕,"인페르날 기반. 하늘에서 어둠의 제왕을 소환하면서 적에게 피해를 주고 기절시킨다. 사정거리 900. 효과범위 350. 어둠의 제왕 - 레벨8, 체력 2500, 공격력 86-97(카오스), 방어력 15(대형), 공격속도 0.7, 이동속도 320, 체력회복 1(항상). 클리빙 어택, 영구 이몰레이션, 쏜즈 오라, 리지스턴트 스킨, 마법 면역을 가진다. 지속시간 80초. 1레벨 - 효과범위 내 적에게 피해를 주고 기절시키면서 어둠의 제왕을 소환한다. 재사용 대기시간 220초. 마력소모 150. 클리빙 어택 - 패시브 기술. 매 공격 시 공격 대상중심으로 효과범위 350이내의 모든 적들(건물, 기계 포함)에게 방어력을 무시하는 어둠의 제왕의 공격력의 80%만큼 피해를 준다. 영구 이몰레이션 - 패시브 기술. 효과범위 내 적들에게 1초당 30의 피해를 준다. 마법면역에는 피해를 주지 않는다. 효과범위 250. 쏜즈 오라 - 패시브 기술. 효과범위 내 아군을 근접 공격한 피해의 15%를 반사시킨다. 마법 피해로 반사시키기 때문에 적의 마법 방어력에 영향을 받고 마법 면역에는 피해를 주지 못한다. 효과범위 900. 리지스턴트 스킨 - 패시브 기술. 각종 해로운 마법의 지속시간을 영웅과 동일하게 만들어주며 둠 / 디바우어 / 트랜스뮤트 / 참 등에 대한 면역을 가지게 된다. 마법 면역 - 패시브 기술. 마법 면역을 무시하는 기술을 제외한 모든 마법공격에 피해를 입지 않고 대상도 되지 않는다. 베나자르가 사기인 이유 2. 파워 메테오가 떨어지고 그 자리에 컨트롤할 수 있는 화신이 일어선다고 생각하면 그 황당함을 짐작할 수 있을 것이다. 일단 자고 있는 적 라인 영웅 머리 위에 첫 번째 어둠의 제왕이 떨어지고 나면 범위 피해 + 기절 + 어둠의 제왕의 일반 공격 + 클리빙 어택 + 날아오는 데스 코일에 영웅이 죽고 타워까지 날아가는 게 보통이다. 재사용 대기시간이 다시 한 바퀴 돌아오면 두 번째 어둠의 제왕이 센티널 영웅 머리 위에 떨어지는데, 이걸로 보통 중보 지키던 적 영웅 1킬+중보. 세 번째 어둠의 제왕은 배력 지키던 적 영웅 1킬+배럭정리 가 되는 게 일반적이고 최상의 시나리오다. 어둠의 제왕의 지속 시간도 길어서, 팀원들의 보조가 좀 받쳐주고 방해를 배제할 수 있다면 어둠의 제왕 한 번으로 중보 두 군데 이상을 한꺼번에 처리하는 것도 가능하다. 그리고 켈자드의 화신처럼 클리빙 어택을 지니고 있기 때문에 배럭을 밀 때 배럭 앞의 타워를 쳐서 2개의 배럭을 동시에 타격하는 아트 화신을 직접 할 수 있다.[3] 워크래프트 3의 클리빙 어택을 기반으로 했기 때문에 어둠의 제왕의 클리빙 어택도 방어력을 무시하지만 공격타입을 따라간다. 따라서 카오스데미지로 배럭을 직접 쳐서 50% 정도의 대미지로 깨느니 클리빙 어택의 간접 공격 및 공격타입을 통해 80%의 대미지를 활용하는 것이 테러 속도가 더 빨라져서 좋다. 보통 소환수들은 부엉이의 '용기'로 공격속도를 높일 수가 있지만, '자체 마법 면역'으로 인하여 버프를 받을 수가 없다. 따라서, 오라템인 '대천사의 축복'으로 늘려야 한다. 특히나 브로켄 백작의 오라는 상당히 공격속도가 늘어나며, 아군의 안티 매직도 뚫는 브로켄 백작의 힐로도 회복이 가능하여 상당히 좋은 시너지가 발생한다.",,,,,베나자르
볼진,검은 창 부족의 약술사,센티널,지능,T,푸른 마비의 비약,"적 유닛에게 푸른 비약을 던져 115 / 230 / 345의 피해를 입히고, 2.5 / 3 / 3.5초간 이동 불가[1] 상태로 만듭니다. 기계에게 사용 가능",70 / 80 / 90,9,1 / 3 / 5,,볼진(카오스)
볼진,검은 창 부족의 약술사,센티널,지능,F,붉은 안개의 비약,"해당 지역에 붉은 안개의 비약을 던져 6초간 붉은 안개를 생성합니다. 안개는 처음 생성될 때 지능 X 2의 피해를 입히고, 1초간 이동 속도를 45% 감소시킵니다. 또한 안개는 지속시간동안 적 유닛과 건물의 공격 성공률을 30% / 50% / 70% 감소시키고, 초당 40 / 60 / 80의 피해를 입힙니다. 건물 및 기계에도 적용",90 / 110 / 130,12,2 / 4 / 6,,볼진(카오스)
볼진,검은 창 부족의 약술사,센티널,지능,E,노란 회복의 비약,5초간 해당 지역에 노란 비약을 뿌려 자신과 아군의 체력을 초당 40 / 70 / 100 회복시킵니다. 적 소환물에게는 회복량의 절반만큼의 피해를 입힙니다.,70 / 80 / 90,12,1 / 3 / 5,,볼진(카오스)
볼진,검은 창 부족의 약술사,센티널,지능,W,검은 속성의 비약,"적 영웅에게 사용시 6초간 모든 속성을 50% 감소시킵니다. 자신이나 아군 영웅에게 사용시 6초간 모든 속성을 50% 증가시킵니다. 최대 속성 증가량 50 / 75, 최대 속성 감소량 30 / 40 자신에게 사용시 이동 속도 15% / 30% 증가 마법 면역 무시",150 / 200,90 / 80,6 / 12,,볼진(카오스)
볼진,검은 창 부족의 약술사,센티널,지능,B,초록 중독의 비약,"20초간 자신의 이동 속도를 15%, 공격 속도를 40% 증가시킵니다. 검은 속성의 비약을 자신에게 5회 사용할 경우 영구적으로 생성되는 히든 스킬",45,50,-,,볼진(카오스)
브로켄 백작,블랙 나이트,스콜지,힘,C,퓨어 이블,"아군 언데드 유닛의 체력을 200 / 400 / 600 회복시킵니다. 적에게 사용할 경우 회복량의 절반만큼의 피해를 입힙니다. 아군에게 사용할 경우 회복량의 50%만큼, 적군에게 사용할 경우 피해량의 50%만큼 자신의 체력을 회복함",70 / 90 / 110,10,1 / 3 / 5,,브로켄 백작/카오스(워크래프트 3/유즈맵)
브로켄 백작,블랙 나이트,스콜지,힘,D,사악한 결계,자신이 바라보는 방향의 90도 각도로 직선형의 사악한 결계 22개를 소환합니다.,60 / 80 / 100,30 / 24 / 18,1 / 3 / 5,,브로켄 백작/카오스(워크래프트 3/유즈맵)
브로켄 백작,블랙 나이트,스콜지,힘,패시브,가혹한 지휘,"자신과 600 범위내 아군 유닛의 공격 속도를 10% / 25% / 40%, 이동 속도를 10% / 15% / 20% 증가시킵니다.",-,1 / 3 / 5,,,브로켄 백작/카오스(워크래프트 3/유즈맵)
브로켄 백작,블랙 나이트,스콜지,힘,패시브,마검 데스칼리버,"매 공격마다 40의 마법 피해를 입히고, 20% 확률로 1초간 기절시킵니다. 마법 면역 무시",-,5,,,브로켄 백작/카오스(워크래프트 3/유즈맵)
